"","Time_Interval","number_of_pickups","wDay","bikes_pickups","Rain.x","hour","Rain.y","Rain"
"1",2014-07-01 00:00:00,2,"weekday",16,0,"00:00",0,"0"
"2",2014-07-01 00:15:00,5,"weekday",8,0,"00:15",0,"0"
"3",2014-07-01 00:30:00,2,"weekday",9,0,"00:30",0,"0"
"4",2014-07-01 00:45:00,1,"weekday",6,0,"00:45",0,"0"
"5",2014-07-01 01:00:00,2,"weekday",5,0,"01:00",0,"0"
"6",2014-07-01 02:00:00,2,"weekday",2,0,"02:00",0,"0"
"7",2014-07-01 02:15:00,2,"weekday",2,0,"02:15",0,"0"
"8",2014-07-01 02:30:00,3,"weekday",1,0,"02:30",0,"0"
"9",2014-07-01 03:15:00,1,"weekday",1,0,"03:15",0,"0"
"10",2014-07-01 03:30:00,4,"weekday",47,0,"03:30",0,"0"
"11",2014-07-01 03:45:00,5,"weekday",3,0,"03:45",0,"0"
"12",2014-07-01 04:00:00,4,"weekday",1,0,"04:00",0,"0"
"13",2014-07-01 04:15:00,4,"weekday",2,0,"04:15",0,"0"
"14",2014-07-01 04:30:00,5,"weekday",47,0,"04:30",0,"0"
"15",2014-07-01 04:45:00,7,"weekday",2,0,"04:45",0,"0"
"16",2014-07-01 05:00:00,2,"weekday",1,0,"05:00",0,"0"
"17",2014-07-01 05:15:00,5,"weekday",2,0,"05:15",0,"0"
"18",2014-07-01 05:30:00,13,"weekday",6,0,"05:30",0,"0"
"19",2014-07-01 05:45:00,12,"weekday",5,0,"05:45",0,"0"
"20",2014-07-01 06:00:00,12,"weekday",15,0,"06:00",0,"0"
"21",2014-07-01 06:15:00,13,"weekday",21,0,"06:15",0,"0"
"22",2014-07-01 06:30:00,17,"weekday",27,0,"06:30",0,"0"
"23",2014-07-01 06:45:00,19,"weekday",45,0,"06:45",0,"0"
"24",2014-07-01 07:00:00,14,"weekday",41,0,"07:00",0,"0"
"25",2014-07-01 07:15:00,24,"weekday",53,0,"07:15",0,"0"
"26",2014-07-01 07:30:00,27,"weekday",57,0,"07:30",0,"0"
"27",2014-07-01 07:45:00,26,"weekday",69,0,"07:45",0,"0"
"28",2014-07-01 08:00:00,25,"weekday",75,0,"08:00",0,"0"
"29",2014-07-01 08:15:00,23,"weekday",84,0,"08:15",0,"0"
"30",2014-07-01 08:30:00,20,"weekday",90,0,"08:30",0,"0"
"31",2014-07-01 08:45:00,12,"weekday",115,0,"08:45",0,"0"
"32",2014-07-01 09:00:00,22,"weekday",69,0,"09:00",0,"0"
"33",2014-07-01 09:15:00,30,"weekday",63,0,"09:15",0,"0"
"34",2014-07-01 09:30:00,20,"weekday",57,0,"09:30",0,"0"
"35",2014-07-01 09:45:00,21,"weekday",42,0,"09:45",0,"0"
"36",2014-07-01 10:00:00,21,"weekday",38,0,"10:00",0,"0"
"37",2014-07-01 10:15:00,21,"weekday",40,0,"10:15",0,"0"
"38",2014-07-01 10:30:00,24,"weekday",35,0,"10:30",0,"0"
"39",2014-07-01 10:45:00,26,"weekday",43,0,"10:45",0,"0"
"40",2014-07-01 11:00:00,22,"weekday",28,0,"11:00",0,"0"
"41",2014-07-01 11:15:00,27,"weekday",30,0,"11:15",0,"0"
"42",2014-07-01 11:30:00,15,"weekday",45,0,"11:30",0,"0"
"43",2014-07-01 11:45:00,23,"weekday",49,0,"11:45",0,"0"
"44",2014-07-01 12:00:00,18,"weekday",43,0,"12:00",0,"0"
"45",2014-07-01 12:15:00,21,"weekday",56,0,"12:15",0,"0"
"46",2014-07-01 12:30:00,19,"weekday",53,0,"12:30",0,"0"
"47",2014-07-01 12:45:00,27,"weekday",42,0,"12:45",0,"0"
"48",2014-07-01 13:00:00,19,"weekday",42,0,"13:00",0,"0"
"49",2014-07-01 13:15:00,15,"weekday",44,0,"13:15",0,"0"
"50",2014-07-01 13:30:00,27,"weekday",53,0,"13:30",0,"0"
"51",2014-07-01 13:45:00,22,"weekday",47,0,"13:45",0,"0"
"52",2014-07-01 14:00:00,34,"weekday",53,0,"14:00",0,"0"
"53",2014-07-01 14:15:00,44,"weekday",39,0,"14:15",0,"0"
"54",2014-07-01 14:30:00,45,"weekday",56,0,"14:30",0,"0"
"55",2014-07-01 14:45:00,37,"weekday",74,0,"14:45",0,"0"
"56",2014-07-01 15:00:00,49,"weekday",71,0,"15:00",0,"0"
"57",2014-07-01 15:15:00,38,"weekday",67,0,"15:15",0,"0"
"58",2014-07-01 15:30:00,39,"weekday",60,0,"15:30",0,"0"
"59",2014-07-01 15:45:00,36,"weekday",80,0,"15:45",0,"0"
"60",2014-07-01 16:00:00,3,"weekday",72,0,"16:00",0,"0"
"61",2014-07-01 16:15:00,49,"weekday",56,0,"16:15",0,"0"
"62",2014-07-01 16:30:00,39,"weekday",66,0,"16:30",0,"0"
"63",2014-07-01 16:45:00,45,"weekday",103,0,"16:45",0,"0"
"64",2014-07-01 17:00:00,46,"weekday",125,0,"17:00",0,"0"
"65",2014-07-01 17:15:00,37,"weekday",104,0,"17:15",0,"0"
"66",2014-07-01 17:30:00,66,"weekday",104,0,"17:30",0,"0"
"67",2014-07-01 17:45:00,56,"weekday",114,0,"17:45",0,"0"
"68",2014-07-01 18:00:00,54,"weekday",138,0,"18:00",0,"0"
"69",2014-07-01 18:15:00,42,"weekday",130,0,"18:15",0,"0"
"70",2014-07-01 18:30:00,47,"weekday",192,0,"18:30",0,"0"
"71",2014-07-01 18:45:00,40,"weekday",178,0,"18:45",0,"0"
"72",2014-07-01 19:00:00,45,"weekday",121,0,"19:00",0,"0"
"73",2014-07-01 19:15:00,36,"weekday",114,0,"19:15",0,"0"
"74",2014-07-01 19:30:00,44,"weekday",104,0,"19:30",0,"0"
"75",2014-07-01 19:45:00,36,"weekday",113,0,"19:45",0,"0"
"76",2014-07-01 20:00:00,39,"weekday",74,0,"20:00",0,"0"
"77",2014-07-01 20:15:00,34,"weekday",75,0,"20:15",0,"0"
"78",2014-07-01 20:30:00,26,"weekday",82,0,"20:30",0,"0"
"79",2014-07-01 20:45:00,27,"weekday",70,0,"20:45",0,"0"
"80",2014-07-01 21:00:00,36,"weekday",58,0,"21:00",0,"0"
"81",2014-07-01 21:15:00,29,"weekday",51,0,"21:15",0,"0"
"82",2014-07-01 21:30:00,25,"weekday",35,0,"21:30",0,"0"
"83",2014-07-01 21:45:00,23,"weekday",37,0,"21:45",0,"0"
"84",2014-07-01 22:00:00,16,"weekday",41,0,"22:00",0,"0"
"85",2014-07-01 22:15:00,21,"weekday",30,0,"22:15",0,"0"
"86",2014-07-01 22:30:00,10,"weekday",26,0,"22:30",0,"0"
"87",2014-07-01 22:45:00,25,"weekday",17,0,"22:45",0,"0"
"88",2014-07-01 23:00:00,14,"weekday",20,0,"23:00",0,"0"
"89",2014-07-01 23:15:00,10,"weekday",16,0,"23:15",0,"0"
"90",2014-07-01 23:30:00,7,"weekday",17,0,"23:30",0,"0"
"91",2014-07-01 23:45:00,2,"weekday",17,0,"23:45",0,"0"
"92",2014-07-02 00:00:00,5,"weekday",12,0,"00:00",0,"0"
"93",2014-07-02 00:15:00,7,"weekday",8,0,"00:15",0,"0"
"94",2014-07-02 00:30:00,3,"weekday",7,0,"00:30",0,"0"
"95",2014-07-02 00:45:00,3,"weekday",5,0,"00:45",0,"0"
"96",2014-07-02 01:00:00,6,"weekday",5,0,"01:00",0,"0"
"97",2014-07-02 01:15:00,1,"weekday",4,0,"01:15",0,"0"
"98",2014-07-02 01:30:00,4,"weekday",2,0,"01:30",0,"0"
"99",2014-07-02 01:45:00,3,"weekday",2,0,"01:45",0,"0"
"100",2014-07-02 02:00:00,6,"weekday",47,0,"02:00",0,"0"
"101",2014-07-02 02:15:00,3,"weekday",2,0,"02:15",0,"0"
"102",2014-07-02 02:30:00,2,"weekday",47,0,"02:30",0,"0"
"103",2014-07-02 02:45:00,2,"weekday",47,0,"02:45",0,"0"
"104",2014-07-02 03:00:00,5,"weekday",47,0,"03:00",0,"0"
"105",2014-07-02 03:15:00,3,"weekday",3,0,"03:15",0,"0"
"106",2014-07-02 03:30:00,5,"weekday",47,0,"03:30",0,"0"
"107",2014-07-02 03:45:00,4,"weekday",47,0,"03:45",0,"0"
"108",2014-07-02 04:00:00,6,"weekday",2,0,"04:00",0,"0"
"109",2014-07-02 04:15:00,4,"weekday",2,0,"04:15",0,"0"
"110",2014-07-02 04:30:00,10,"weekday",4,0,"04:30",0,"0"
"111",2014-07-02 04:45:00,7,"weekday",47,0,"04:45",0,"0"
"112",2014-07-02 05:00:00,8,"weekday",2,0,"05:00",0,"0"
"113",2014-07-02 05:15:00,2,"weekday",47,0,"05:15",0,"0"
"114",2014-07-02 05:30:00,10,"weekday",5,0,"05:30",0,"0"
"115",2014-07-02 05:45:00,16,"weekday",6,0,"05:45",0,"0"
"116",2014-07-02 06:00:00,7,"weekday",14,0,"06:00",0,"0"
"117",2014-07-02 06:15:00,13,"weekday",28,0,"06:15",0,"0"
"118",2014-07-02 06:30:00,14,"weekday",36,0,"06:30",0,"0"
"119",2014-07-02 06:45:00,12,"weekday",43,0,"06:45",0,"0"
"120",2014-07-02 07:00:00,23,"weekday",41,0,"07:00",0,"0"
"121",2014-07-02 07:15:00,26,"weekday",59,0,"07:15",0,"0"
"122",2014-07-02 07:30:00,19,"weekday",69,0,"07:30",0,"0"
"123",2014-07-02 07:45:00,24,"weekday",80,0,"07:45",0,"0"
"124",2014-07-02 08:00:00,22,"weekday",69,0,"08:00",0,"0"
"125",2014-07-02 08:15:00,14,"weekday",68,0,"08:15",0,"0"
"126",2014-07-02 08:30:00,24,"weekday",115,0,"08:30",0,"0"
"127",2014-07-02 08:45:00,14,"weekday",106,0,"08:45",0,"0"
"128",2014-07-02 09:00:00,13,"weekday",72,0,"09:00",0,"0"
"129",2014-07-02 09:15:00,18,"weekday",84,0,"09:15",0,"0"
"130",2014-07-02 09:30:00,15,"weekday",50,0,"09:30",0,"0"
"131",2014-07-02 09:45:00,10,"weekday",56,0,"09:45",0,"0"
"132",2014-07-02 10:00:00,10,"weekday",50,0,"10:00",0,"0"
"133",2014-07-02 10:15:00,17,"weekday",43,0,"10:15",0,"0"
"134",2014-07-02 10:30:00,14,"weekday",31,0,"10:30",0,"0"
"135",2014-07-02 10:45:00,20,"weekday",24,0,"10:45",0,"0"
"136",2014-07-02 11:00:00,17,"weekday",31,0,"11:00",0,"0"
"137",2014-07-02 11:15:00,23,"weekday",40,0,"11:15",0,"0"
"138",2014-07-02 11:30:00,19,"weekday",38,0,"11:30",0,"0"
"139",2014-07-02 11:45:00,25,"weekday",39,0,"11:45",0,"0"
"140",2014-07-02 12:00:00,23,"weekday",51,0,"12:00",0,"0"
"141",2014-07-02 12:15:00,21,"weekday",41,0,"12:15",0,"0"
"142",2014-07-02 12:30:00,22,"weekday",47,0,"12:30",0,"0"
"143",2014-07-02 12:45:00,21,"weekday",55,0,"12:45",0,"0"
"144",2014-07-02 13:00:00,31,"weekday",53,0,"13:00",0,"0"
"145",2014-07-02 13:15:00,31,"weekday",69,0,"13:15",0,"0"
"146",2014-07-02 13:30:00,28,"weekday",49,0,"13:30",0,"0"
"147",2014-07-02 13:45:00,23,"weekday",50,0,"13:45",0,"0"
"148",2014-07-02 14:00:00,32,"weekday",53,0,"14:00",0,"0"
"149",2014-07-02 14:15:00,45,"weekday",43,0,"14:15",0,"0"
"150",2014-07-02 14:30:00,26,"weekday",39,0,"14:30",0,"0"
"151",2014-07-02 14:45:00,35,"weekday",63,0,"14:45",0,"0"
"152",2014-07-02 15:00:00,27,"weekday",47,0,"15:00",0,"0"
"153",2014-07-02 15:15:00,39,"weekday",44,0,"15:15",0,"0"
"154",2014-07-02 15:30:00,45,"weekday",51,0,"15:30",0,"0"
"155",2014-07-02 15:45:00,41,"weekday",60,0,"15:45",0,"0"
"156",2014-07-02 16:00:00,46,"weekday",57,0,"16:00",0,"0"
"157",2014-07-02 16:15:00,55,"weekday",73,0,"16:15",0,"0"
"158",2014-07-02 16:30:00,52,"weekday",78,0,"16:30",0,"0"
"159",2014-07-02 16:45:00,56,"weekday",98,0,"16:45",0,"0"
"160",2014-07-02 17:00:00,53,"weekday",165,0,"17:00",0,"0"
"161",2014-07-02 17:15:00,71,"weekday",155,0,"17:15",0,"0"
"162",2014-07-02 17:30:00,49,"weekday",168,0,"17:30",0,"0"
"163",2014-07-02 17:45:00,39,"weekday",145,0,"17:45",0,"0"
"164",2014-07-02 18:00:00,97,"weekday",141,0,"18:00",0,"0"
"165",2014-07-02 18:15:00,83,"weekday",75,0,"18:15",0,"0"
"166",2014-07-02 18:30:00,58,"weekday",33,0,"18:30",0,"0"
"167",2014-07-02 18:45:00,78,"weekday",73,0,"18:45",0,"0"
"168",2014-07-02 19:00:00,74,"weekday",43,0,"19:00",0,"0"
"169",2014-07-02 19:15:00,51,"weekday",8,0,"19:15",0,"0"
"170",2014-07-02 19:30:00,67,"weekday",3,0,"19:30",0,"0"
"171",2014-07-02 19:45:00,56,"weekday",5,0,"19:45",0,"0"
"172",2014-07-02 20:00:00,51,"weekday",7,0,"20:00",0,"0"
"173",2014-07-02 20:15:00,40,"weekday",14,0,"20:15",0,"0"
"174",2014-07-02 20:30:00,40,"weekday",22,0,"20:30",0,"0"
"175",2014-07-02 20:45:00,45,"weekday",23,0,"20:45",0,"0"
"176",2014-07-02 21:00:00,46,"weekday",9,1,"21:00",1,"1"
"177",2014-07-02 21:15:00,40,"weekday",21,1,"21:15",1,"1"
"178",2014-07-02 21:30:00,34,"weekday",17,1,"21:30",1,"1"
"179",2014-07-02 21:45:00,31,"weekday",6,1,"21:45",1,"1"
"180",2014-07-02 22:00:00,22,"weekday",5,0,"22:00",0,"0"
"181",2014-07-02 22:15:00,22,"weekday",5,0,"22:15",0,"0"
"182",2014-07-02 22:30:00,19,"weekday",9,0,"22:30",0,"0"
"183",2014-07-02 22:45:00,15,"weekday",8,0,"22:45",0,"0"
"184",2014-07-02 23:00:00,6,"weekday",13,0,"23:00",0,"0"
"185",2014-07-02 23:15:00,7,"weekday",8,0,"23:15",0,"0"
"186",2014-07-02 23:30:00,8,"weekday",10,0,"23:30",0,"0"
"187",2014-07-02 23:45:00,6,"weekday",4,0,"23:45",0,"0"
"188",2014-07-03 00:00:00,4,"weekday",7,0,"00:00",0,"0"
"189",2014-07-03 00:15:00,6,"weekday",6,0,"00:15",0,"0"
"190",2014-07-03 00:30:00,3,"weekday",3,0,"00:30",0,"0"
"191",2014-07-03 00:45:00,1,"weekday",3,0,"00:45",0,"0"
"192",2014-07-03 01:00:00,8,"weekday",3,0,"01:00",0,"0"
"193",2014-07-03 01:30:00,1,"weekday",4,0,"01:30",0,"0"
"194",2014-07-03 01:45:00,2,"weekday",1,0,"01:45",0,"0"
"195",2014-07-03 02:00:00,2,"weekday",1,1,"02:00",1,"1"
"196",2014-07-03 02:15:00,3,"weekday",1,1,"02:15",1,"1"
"197",2014-07-03 02:30:00,3,"weekday",2,1,"02:30",1,"1"
"198",2014-07-03 02:45:00,2,"weekday",3,1,"02:45",1,"1"
"199",2014-07-03 03:00:00,9,"weekday",47,0,"03:00",0,"0"
"200",2014-07-03 03:15:00,3,"weekday",47,0,"03:15",0,"0"
"201",2014-07-03 03:30:00,4,"weekday",47,0,"03:30",0,"0"
"202",2014-07-03 03:45:00,5,"weekday",3,0,"03:45",0,"0"
"203",2014-07-03 04:00:00,6,"weekday",47,0,"04:00",0,"0"
"204",2014-07-03 04:15:00,2,"weekday",3,0,"04:15",0,"0"
"205",2014-07-03 04:30:00,18,"weekday",6,0,"04:30",0,"0"
"206",2014-07-03 04:45:00,7,"weekday",1,0,"04:45",0,"0"
"207",2014-07-03 05:00:00,13,"weekday",1,0,"05:00",0,"0"
"208",2014-07-03 05:15:00,10,"weekday",47,0,"05:15",0,"0"
"209",2014-07-03 05:30:00,17,"weekday",2,0,"05:30",0,"0"
"210",2014-07-03 05:45:00,10,"weekday",8,0,"05:45",0,"0"
"211",2014-07-03 06:00:00,19,"weekday",11,0,"06:00",0,"0"
"212",2014-07-03 06:15:00,10,"weekday",18,0,"06:15",0,"0"
"213",2014-07-03 06:30:00,16,"weekday",12,0,"06:30",0,"0"
"214",2014-07-03 06:45:00,16,"weekday",26,0,"06:45",0,"0"
"215",2014-07-03 07:00:00,15,"weekday",29,0,"07:00",0,"0"
"216",2014-07-03 07:15:00,21,"weekday",34,0,"07:15",0,"0"
"217",2014-07-03 07:30:00,21,"weekday",40,0,"07:30",0,"0"
"218",2014-07-03 07:45:00,19,"weekday",49,0,"07:45",0,"0"
"219",2014-07-03 08:00:00,22,"weekday",48,0,"08:00",0,"0"
"220",2014-07-03 08:15:00,17,"weekday",65,0,"08:15",0,"0"
"221",2014-07-03 08:30:00,21,"weekday",89,0,"08:30",0,"0"
"222",2014-07-03 08:45:00,16,"weekday",89,0,"08:45",0,"0"
"223",2014-07-03 09:00:00,18,"weekday",73,0,"09:00",0,"0"
"224",2014-07-03 09:15:00,14,"weekday",54,0,"09:15",0,"0"
"225",2014-07-03 09:30:00,15,"weekday",49,0,"09:30",0,"0"
"226",2014-07-03 09:45:00,17,"weekday",49,0,"09:45",0,"0"
"227",2014-07-03 10:00:00,22,"weekday",42,0,"10:00",0,"0"
"228",2014-07-03 10:15:00,15,"weekday",20,0,"10:15",0,"0"
"229",2014-07-03 10:30:00,18,"weekday",37,0,"10:30",0,"0"
"230",2014-07-03 10:45:00,22,"weekday",37,0,"10:45",0,"0"
"231",2014-07-03 11:00:00,31,"weekday",47,0,"11:00",0,"0"
"232",2014-07-03 11:15:00,24,"weekday",34,0,"11:15",0,"0"
"233",2014-07-03 11:30:00,20,"weekday",39,0,"11:30",0,"0"
"234",2014-07-03 11:45:00,23,"weekday",42,0,"11:45",0,"0"
"235",2014-07-03 12:00:00,26,"weekday",66,0,"12:00",0,"0"
"236",2014-07-03 12:15:00,20,"weekday",69,0,"12:15",0,"0"
"237",2014-07-03 12:30:00,21,"weekday",81,0,"12:30",0,"0"
"238",2014-07-03 12:45:00,24,"weekday",64,0,"12:45",0,"0"
"239",2014-07-03 13:00:00,27,"weekday",71,0,"13:00",0,"0"
"240",2014-07-03 13:15:00,28,"weekday",80,0,"13:15",0,"0"
"241",2014-07-03 13:30:00,25,"weekday",77,0,"13:30",0,"0"
"242",2014-07-03 13:45:00,24,"weekday",78,0,"13:45",0,"0"
"243",2014-07-03 14:00:00,30,"weekday",85,0,"14:00",0,"0"
"244",2014-07-03 14:15:00,31,"weekday",86,0,"14:15",0,"0"
"245",2014-07-03 14:30:00,26,"weekday",79,0,"14:30",0,"0"
"246",2014-07-03 14:45:00,37,"weekday",91,0,"14:45",0,"0"
"247",2014-07-03 15:00:00,37,"weekday",88,0,"15:00",0,"0"
"248",2014-07-03 15:15:00,34,"weekday",99,0,"15:15",0,"0"
"249",2014-07-03 15:30:00,23,"weekday",92,0,"15:30",0,"0"
"250",2014-07-03 15:45:00,26,"weekday",82,0,"15:45",0,"0"
"251",2014-07-03 16:00:00,28,"weekday",91,1,"16:00",1,"1"
"252",2014-07-03 16:15:00,28,"weekday",91,1,"16:15",1,"1"
"253",2014-07-03 16:30:00,26,"weekday",80,1,"16:30",1,"1"
"254",2014-07-03 16:45:00,31,"weekday",89,1,"16:45",1,"1"
"255",2014-07-03 17:00:00,22,"weekday",113,1,"17:00",1,"1"
"256",2014-07-03 17:15:00,26,"weekday",105,1,"17:15",1,"1"
"257",2014-07-03 17:30:00,22,"weekday",85,1,"17:30",1,"1"
"258",2014-07-03 17:45:00,29,"weekday",79,1,"17:45",1,"1"
"259",2014-07-03 18:00:00,64,"weekday",72,1,"18:00",1,"1"
"260",2014-07-03 18:15:00,35,"weekday",91,1,"18:15",1,"1"
"261",2014-07-03 18:30:00,33,"weekday",65,1,"18:30",1,"1"
"262",2014-07-03 18:45:00,29,"weekday",69,1,"18:45",1,"1"
"263",2014-07-03 19:00:00,20,"weekday",36,1,"19:00",1,"1"
"264",2014-07-03 19:15:00,44,"weekday",23,1,"19:15",1,"1"
"265",2014-07-03 19:30:00,40,"weekday",35,1,"19:30",1,"1"
